ID,name_of_politician,verified,severity_of_harassment,type_of_account
398,Chrystia Freeland,No,Questioning Authority,Spammers
399,Chrystia Freeland,No,Neutral,Anonymous
400,Chrystia Freeland,No,Questioning Authority,Personal
401,Chrystia Freeland,No,Questioning Authority,Spammers
402,Chrystia Freeland,No,Questioning Authority,Spammers
403,Chrystia Freeland,Yes,Questioning Authority,Spammers
404,Chrystia Freeland,Yes,Questioning Authority,Spammers
405,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
406,Chrystia Freeland,No,Neutral,Spammers
407,Chrystia Freeland,No,Questioning Authority,Spammers
408,Chrystia Freeland,No,Questioning Authority,Personal
409,Chrystia Freeland,No,Questioning Authority,Personal
410,Chrystia Freeland,No,Neutral,Spammers
411,Chrystia Freeland,No,Questioning Authority,Anonymous
412,Chrystia Freeland,No,Questioning Authority,Spammers
413,Chrystia Freeland,No,Questioning Authority,Personal
414,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
415,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
416,Chrystia Freeland,No,Neutral,Anonymous
417,Chrystia Freeland,No,Questioning Authority,Anonymous
418,Chrystia Freeland,No,Questioning Authority,Spammers
419,Chrystia Freeland,No,Questioning Authority,Spammers
420,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
421,Chrystia Freeland,No,Questioning Authority,Spammers
422,Chrystia Freeland,No,Questioning Authority,Personal
423,Chrystia Freeland,No,Questioning Authority,Anonymous
424,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
425,Chrystia Freeland,No,Questioning Authority,Spammers
426,Chrystia Freeland,No,Questioning Authority,Anonymous
427,Chrystia Freeland,No,Questioning Authority,Spammers
428,Chrystia Freeland,No,Questioning Authority,Anonymous
429,Chrystia Freeland,No,Vicious language,Spammers
430,Chrystia Freeland,No,Questioning Authority,Spammers
431,Chrystia Freeland,No,Questioning Authority,Anonymous
432,Chrystia Freeland,No,Questioning Authority,Personal
433,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
434,Chrystia Freeland,No,Questioning Authority,Spammers
435,Chrystia Freeland,No,Questioning Authority,Personal
436,Chrystia Freeland,No,Questioning Authority,Spammers
437,Chrystia Freeland,No,Questioning Authority,Spammers
438,Chrystia Freeland,No,Questioning Authority,Personal
439,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
440,Chrystia Freeland,No,Questioning Authority,Spammers
441,Chrystia Freeland,No,Name-calling/Gender insults,Personal
442,Chrystia Freeland,No,Questioning Authority,Anonymous
443,Chrystia Freeland,No,Questioning Authority,Spammers
444,Chrystia Freeland,No,Questioning Authority,Anonymous
445,Chrystia Freeland,No,Questioning Authority,Personal
446,Chrystia Freeland,No,Questioning Authority,Spammers
447,Chrystia Freeland,No,Questioning Authority,Personal
448,Chrystia Freeland,No,Credible threats,Spammers
449,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
450,Chrystia Freeland,No,Questioning Authority,Spammers
451,Chrystia Freeland,No,Questioning Authority,Spammers
452,Chrystia Freeland,No,Questioning Authority,Anonymous
453,Chrystia Freeland,No,Neutral,Spammers
454,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
455,Chrystia Freeland,No,Questioning Authority,Spammers
456,Chrystia Freeland,No,Neutral,Personal
457,Chrystia Freeland,No,Neutral,Spammers
458,Chrystia Freeland,No,Questioning Authority,Spammers
459,Chrystia Freeland,No,Questioning Authority,Spammers
460,Chrystia Freeland,No,Questioning Authority,Spammers
461,Chrystia Freeland,No,Questioning Authority,Personal
462,Chrystia Freeland,No,Questioning Authority,Personal
463,Chrystia Freeland,No,Questioning Authority,Spammers
464,Chrystia Freeland,No,Questioning Authority,Spammers
465,Chrystia Freeland,No,Questioning Authority,Personal
466,Chrystia Freeland,No,Vicious language,Spammers
467,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
468,Chrystia Freeland,No,Questioning Authority,Anonymous
469,Chrystia Freeland,No,Questioning Authority,Anonymous
470,Chrystia Freeland,No,Questioning Authority,Spammers
471,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
472,Chrystia Freeland,No,Positive,Personal
473,Chrystia Freeland,No,Questioning Authority,Spammers
474,Chrystia Freeland,No,Questioning Authority,Personal
475,Chrystia Freeland,No,Questioning Authority,Personal
476,Chrystia Freeland,No,Questioning Authority,Anonymous
477,Chrystia Freeland,No,Questioning Authority,Anonymous
478,Chrystia Freeland,No,Questioning Authority,Personal
479,Chrystia Freeland,No,Questioning Authority,Spammers
480,Chrystia Freeland,No,Questioning Authority,Anonymous
481,Chrystia Freeland,No,Questioning Authority,Anonymous
482,Chrystia Freeland,Yes,Questioning Authority,Spammers
483,Chrystia Freeland,No,Questioning Authority,Spammers
484,Chrystia Freeland,Yes,Questioning Authority,Spammers
485,Chrystia Freeland,No,Questioning Authority,Spammers
486,Chrystia Freeland,No,Questioning Authority,Spammers
487,Chrystia Freeland,No,Questioning Authority,Personal
488,Chrystia Freeland,No,Questioning Authority,Anonymous
489,Chrystia Freeland,No,Questioning Authority,Spammers
490,Chrystia Freeland,No,Questioning Authority,Personal
491,Chrystia Freeland,No,Questioning Authority,Anonymous
492,Chrystia Freeland,No,Questioning Authority,Anonymous
493,Chrystia Freeland,No,Questioning Authority,Anonymous
494,Chrystia Freeland,No,Questioning Authority,Anonymous
495,Chrystia Freeland,No,Questioning Authority,Spammers
